"","season","PlotID","Source","ElapsedTimeSinceUnewRunoffStarted_Minutes","data","proxy","detection level","method","detection frequency","type of mictobes","analysis type","amended field","names of microbes"
"3145","B","406","S","60","27375","27375","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3146","B","411","S","30","106.306","106.306","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3147","B","411","S","60","9500","9500","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3154","B","502","S","30","340","340","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3155","B","502","S","60","310","310","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3156","B","111","S","30","2090","2090","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3157","B","111","S","60","1580","1580","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3160","B","210","S","30","90","90","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3161","B","210","S","60","600","600","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3174","B","202","S","30","580","580","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3175","B","202","S","60","470","470","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3176","B","401","S","30","350","350","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3177","B","401","S","60","180","180","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3184","B","410","S","30","190","190","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3185","B","410","S","60","100","100","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"4576","C","210","S","30","2","1","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4582","C","410","S","30","0.017","0.0085","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4585","C","101","S","30","15333.333","15333.333","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4586","C","101","S","60","14000","14000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4590","C","111","S","30","55","55","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4591","C","111","S","60","50","50","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4592","C","202","S","30","67.882","67.882","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4593","C","202","S","60","28","28","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4596","C","210","S","60","18","18","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4599","C","401","S","30","156","156","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4600","C","401","S","60","92","92","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4606","C","406","S","30","8518.519","8518.519","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4607","C","406","S","60","7037.037","7037.037","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4609","C","410","S","60","0.013","0.013","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4610","C","411","S","30","61","61","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4611","C","411","S","60","603.567","603.567","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4614","C","502","S","30","94","94","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4615","C","502","S","60","87.615","87.615","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"406","A","101","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"407","A","101","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"419","A","111","S","30","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"420","A","111","S","60","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"421","A","202","S","30","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"422","A","202","S","60","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"429","A","210","S","60","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"434","A","401","S","30","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"435","A","401","S","60","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"442","A","406","S","30","4","4","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"443","A","406","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"448","A","410","S","30","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"449","A","410","S","60","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"450","A","411","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"454","A","502","S","30","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"455","A","502","S","60","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"1664","D","101","S","30","150000","150000","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"1665","D","101","S","60","960","960","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"1674","D","111","S","30","35","35","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"1675","D","111","S","60","21","21","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"1676","D","202","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"1677","D","202","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"1684","D","210","S","30","6","6","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1685","D","210","S","60","1100","1100","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1690","D","401","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"1691","D","401","S","60","3","3","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1696","D","406","S","30","20","20","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1697","D","406","S","60","290","290","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1701","D","410","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"1702","D","411","S","30","210","210","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1703","D","411","S","60","93","93","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1708","D","502","S","30","35","35","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1709","D","502","S","60","20","20","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"3190","B","101","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3191","B","101","S","60","6","6","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"3204","B","406","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3205","B","406","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3206","B","411","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3207","B","411","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3214","B","502","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3215","B","502","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3216","B","111","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3217","B","111","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3220","B","210","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3221","B","210","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3234","B","202","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3235","B","202","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3236","B","401","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3237","B","401","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3244","B","410","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3245","B","410","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"4671","C","101","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4677","C","111","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4678","C","111","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4679","C","202","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4680","C","202","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4686","C","210","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4687","C","210","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4691","C","401","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4692","C","401","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4698","C","406","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4699","C","406","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4702","C","410","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4703","C","410","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4704","C","411","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4705","C","411","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4710","C","502","S","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4711","C","502","S","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4716","C","101","S","60","9.2","9.2","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"460","A","101","S","10","45.2","45.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"461","A","101","S","30","24","24","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"462","A","101","S","5","118.7333333","118.7333333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"463","A","101","S","60","14.8","14.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"503","A","111","S","10","6.8","6.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"504","A","111","S","20","5.15","5.15","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"505","A","111","S","30","1.5","1.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"506","A","111","S","5","7.4","7.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"507","A","111","S","60","3","3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"508","A","111","S","60","4.6","4.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"521","A","202","S","10","304","304","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"522","A","202","S","20","316.2","316.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"523","A","202","S","30","74.6","74.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"524","A","202","S","5","222.2666667","222.2666667","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"525","A","202","S","60","71.3","71.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"526","A","202","S","60","125.9","125.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"557","A","210","S","10","397.1","397.1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"558","A","210","S","20","668.85","668.85","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"559","A","210","S","30","549.25","549.25","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"560","A","210","S","5","165.2666667","165.2666667","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"561","A","210","S","60","125.5","125.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"562","A","210","S","60","291.85","291.85","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"575","A","401","S","10","173.8","173.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"576","A","401","S","20","342.7","342.7","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"577","A","401","S","30","253.7","253.7","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"578","A","401","S","5","116.9333333","116.9333333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"579","A","401","S","60","61.6","61.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"580","A","401","S","60","166.9","166.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"605","A","406","S","10","735.4","735.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"606","A","406","S","20","330.9","330.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"607","A","406","S","30","166.2","166.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"608","A","406","S","5","315.2","315.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"609","A","406","S","60","127.6","127.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"610","A","406","S","60","133.9","133.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"629","A","410","S","10","110.9","110.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"630","A","410","S","20","4","4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"631","A","410","S","30","108.5","108.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"632","A","410","S","5","4","4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"633","A","410","S","60","19.6","19.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"634","A","410","S","60","4","4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"635","A","411","S","10","75.9","75.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"636","A","411","S","20","45.6","45.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"637","A","411","S","30","67.1","67.1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"638","A","411","S","5","26.4","26.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"639","A","411","S","60","19.6","19.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"640","A","411","S","60","17.2","17.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"653","A","502","S","10","14.6","14.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"654","A","502","S","20","12.6","12.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"655","A","502","S","30","52","52","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"656","A","502","S","5","80.06666667","80.06666667","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"657","A","502","S","60","32","32","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"658","A","502","S","60","31.2","31.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1787","D","101","S","10","2155","2155","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1788","D","101","S","20","3755","3755","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1789","D","101","S","30","2130","2130","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1790","D","101","S","30","1610","1610","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1791","D","101","S","5","1713.333333","1713.333333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1792","D","101","S","60","1350","1350","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1793","D","101","S","60","1365","1365","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1837","D","111","S","10","1234","1234","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1838","D","111","S","20","460.5","460.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1839","D","111","S","30","457.8","457.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1840","D","111","S","30","687.9","687.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1841","D","111","S","5","2760.4","2760.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1842","D","111","S","60","187.5","187.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1843","D","111","S","60","298.8","298.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1858","D","202","S","10","1078.5","1078.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1859","D","202","S","20","590.4","590.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1860","D","202","S","30","443.5","443.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1861","D","202","S","30","625.4","625.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1862","D","202","S","5","719.8","719.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1863","D","202","S","60","258.7","258.7","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1864","D","202","S","60","414.4","414.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1898","D","210","S","10","1324.9","1324.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1899","D","210","S","20","698.5","698.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1900","D","210","S","30","604.5","604.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1901","D","210","S","30","977.3","977.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1902","D","210","S","5","1060.8","1060.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1903","D","210","S","60","481.4","481.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1904","D","210","S","60","600.4","600.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1916","D","401","S","10","650.9","650.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1917","D","401","S","20","879.8","879.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1918","D","401","S","30","1040.2","1040.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1919","D","401","S","30","1191.1","1191.1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1920","D","401","S","5","524.9333333","524.9333333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1921","D","401","S","60","872.5","872.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1922","D","401","S","60","873.9","873.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1944","D","406","S","10","968.5","968.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1945","D","406","S","20","1084.5","1084.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1946","D","406","S","30","676.5","676.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1947","D","406","S","30","728.5","728.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1948","D","406","S","5","669.6666667","669.6666667","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1949","D","406","S","60","927","927","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1950","D","406","S","60","775","775","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1971","D","410","S","10","385.9","385.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1972","D","410","S","20","316.5","316.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1973","D","410","S","30","249.7","249.7","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1974","D","410","S","30","309","309","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1975","D","410","S","5","287.3333333","287.3333333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1976","D","410","S","60","126.4","126.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1977","D","410","S","60","166.3","166.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1978","D","411","S","10","41","41","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1979","D","411","S","20","95","95","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1980","D","411","S","30","52","52","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1981","D","411","S","30","110","110","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1982","D","411","S","5","81.5","81.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1983","D","411","S","60","222","222","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1984","D","411","S","60","108","108","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1995","D","502","S","10","157.9","157.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1996","D","502","S","20","242.7","242.7","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1997","D","502","S","30","144.3","144.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1998","D","502","S","30","157.6","157.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1999","D","502","S","5","114.2","114.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"2000","D","502","S","60","144.5","144.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"2001","D","502","S","60","176.7","176.7","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"3330","B","101","S","5","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"3331","B","101","S","10","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"3332","B","101","S","20","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"3333","B","101","S","30","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"3334","B","101","S","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3335","B","101","S","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3372","B","406","S","5","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3373","B","406","S","10","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3374","B","406","S","20","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3375","B","406","S","30","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3376","B","406","S","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
